Z_SCORE	ID_STUDY	GENE_NAME
-0.265	377	ASAH2
-0.185	377	ASAH2B
-0.17	377	ASAP1
-0.31	377	ASAP2
-0.239	377	ASAP3
-0.032	377	ASB1
-0.105	377	ASB10
-0.254	377	ASB11
-0.254	377	ASB12
-0.182	377	ASB13
-0.252	377	ASB14
-0.419	377	ASB15
-0.116	377	ASB16
-0.199	377	ASB17
0.0	377	ASB18
-0.281	377	ASB2
-0.09	377	ASB3
-0.281	377	ASB5
-0.076	377	ASB6
-0.042	377	ASB7
-0.093	377	ASB8
-0.339	377	ASB9
-0.102	377	ASCC1
0.023	377	ASCC2
-0.156	377	ASCC3
-0.387	377	ASCL1
-0.238	377	ASCL2
-0.348	377	ASCL3
-0.254	377	ASCL4
-0.209	377	ASF1A
-0.251	377	ASF1B
-0.41	377	ASGR1
-0.392	377	ASGR2
-0.141	377	ASH1L
0.031	377	ASH2L
-0.235	377	ASIP
-0.214	377	ASL
-0.317	377	ASMT
